OrderNo,SalesOrderLineKey,OrderQuantity,ItemCost,ItemPrice,OrderDate,DeliveryDueDate,OrderToDelivery,CustomerName,CustomerCity,CustomerState,CustomerCountry,ProductCategory,ProductSubcategory,Product,ProductColor,Model,Order Line Price
SO43707,43707001,1,2171.29,3578.27,02/07/2017,09/07/2017,7,Emma Brown,Lemon Grove,California,United States,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO43708,43708001,1,413.15,699.1,02/07/2017,05/07/2017,3,Brad Deng,Liverpool,England,United Kingdom,Bikes,Road Bikes,"Road-650 Red, 52",Red,Road-650,699.1
SO43709,43709001,1,2171.29,3578.27,02/07/2017,07/07/2017,5,Martha Xu,Rockhampton,Queensland,Australia,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO43710,43710001,1,2171.29,3578.27,02/07/2017,10/07/2017,8,Katrina Raji,Wollongong,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO43711,43711001,1,2171.29,3578.27,02/07/2017,12/07/2017,10,Courtney Edwards,Milwaukie,Oregon,United States,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO43712,43712001,1,2171.29,3578.27,02/07/2017,08/07/2017,6,Abigail Henderson,Werne,Nordrhein-Westfalen,Germany,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO43713,43713001,1,2171.29,3578.27,03/07/2017,09/07/2017,6,Sydney Rogers,Burbank,California,United States,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO43714,43714001,1,2171.29,3578.27,03/07/2017,05/07/2017,2,Latasha Alonso,York,England,United Kingdom,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO43715,43715001,1,2171.29,3578.27,03/07/2017,11/07/2017,8,Warren Jai,Melbourne,Victoria,Australia,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO43716,43716001,1,2171.29,3578.27,03/07/2017,09/07/2017,6,Jonathon Gutierrez,Goulburn,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO43717,43717001,1,413.15,699.1,03/07/2017,08/07/2017,5,Alexandra Watson,Goulburn,New South Wales,Australia,Bikes,Road Bikes,"Road-650 Black, 62",Black,Road-650,699.1
SO43718,43718001,1,2171.29,3578.27,03/07/2017,05/07/2017,2,Kevin Gonzalez,Kirkland,Washington,United States,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO43719,43719001,1,2171.29,3578.27,03/07/2017,08/07/2017,5,Lucas Hill,Berkeley,California,United States,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO43720,43720001,1,2171.29,3578.27,03/07/2017,10/07/2017,7,Melanie Sanchez,Ingolstadt,Bayern,Germany,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO43721,43721001,1,2171.29,3578.27,03/07/2017,09/07/2017,6,Louis Xie,York,England,United Kingdom,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO43722,43722001,1,2171.29,3578.27,04/07/2017,13/07/2017,9,Albert Blanco,Esher-Molesey,England,United Kingdom,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO43723,43723001,1,413.15,699.1,04/07/2017,10/07/2017,6,Bonnie Xu,Bremerton,Washington,United States,Bikes,Road Bikes,"Road-650 Black, 58",Black,Road-650,699.1
SO43724,43724001,1,2171.29,3578.27,04/07/2017,12/07/2017,8,Misty Raji,Bendigo,Victoria,Australia,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO43725,43725001,1,2171.29,3578.27,04/07/2017,06/07/2017,2,Anne Dominguez,Kassel,Hessen,Germany,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO43726,43726001,1,413.15,699.1,04/07/2017,12/07/2017,8,Kelvin Huang,Bellflower,California,United States,Bikes,Road Bikes,"Road-650 Black, 58",Black,Road-650,699.1
SO43727,43727001,1,2171.29,3578.27,04/07/2017,13/07/2017,9,Logan Gonzales,Brisbane,Queensland,Australia,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO43728,43728001,1,2171.29,3578.27,05/07/2017,09/07/2017,4,Alyssa Garcia,Fremont,California,United States,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO43729,43729001,1,1912.15,3399.99,05/07/2017,07/07/2017,2,Mayra Prasad,Birmingham,England,United Kingdom,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",Silver,Mountain-100,3399.99
SO43730,43730001,1,1912.15,3399.99,05/07/2017,15/07/2017,10,Garrett Cooper,Woodland Hills,California,United States,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",Silver,Mountain-100,3399.99
SO43731,43731001,1,2171.29,3578.27,05/07/2017,13/07/2017,8,Rosa Zheng,Matraville,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO43732,43732001,1,1898.09,3374.99,05/07/2017,07/07/2017,2,Alejandro Beck,Hawthorne,Queensland,Australia,Bikes,Mountain Bikes,"Mountain-100 Black, 44",Black,Mountain-100,3374.99
SO43733,43733001,1,2171.29,3578.27,05/07/2017,15/07/2017,10,Patrick Cook,Port Orchard,Washington,United States,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO43734,43734001,1,2171.29,3578.27,05/07/2017,09/07/2017,4,Richard Brooks,Port Orchard,Washington,United States,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO43735,43735001,1,2171.29,3578.27,05/07/2017,10/07/2017,5,Casey Pal,Caloundra,Queensland,Australia,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO43736,43736001,1,1912.15,3399.99,05/07/2017,07/07/2017,2,Ruben Torres,Hobart,Tasmania,Australia,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",Silver,Mountain-100,3399.99
SO43737,43737001,1,2171.29,3578.27,06/07/2017,13/07/2017,7,Lindsey Andersen,Paderborn,Nordrhein-Westfalen,Germany,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO43738,43738001,1,2171.29,3578.27,06/07/2017,14/07/2017,8,Melody Ramos,Morangis,Essonne,France,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO43739,43739001,1,2171.29,3578.27,06/07/2017,13/07/2017,7,Phillip Sai,Stoke-on-Trent,England,United Kingdom,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO43740,43740001,1,2171.29,3578.27,06/07/2017,09/07/2017,3,Cory Arun,Milsons Point,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO43741,43741001,1,2171.29,3578.27,06/07/2017,12/07/2017,6,Jeremiah Martinez,Ballard,Washington,United States,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO43742,43742001,1,2171.29,3578.27,06/07/2017,11/07/2017,5,Tamara Lal,London,England,United Kingdom,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO43743,43743001,1,1912.15,3399.99,06/07/2017,16/07/2017,10,Marco Mehta,Warrnambool,Victoria,Australia,Bikes,Mountain Bikes,"Mountain-100 Silver, 48",Silver,Mountain-100,3399.99
SO43744,43744001,1,2171.29,3578.27,06/07/2017,11/07/2017,5,Haley Ward,Rockhampton,Queensland,Australia,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO43745,43745001,1,2171.29,3578.27,07/07/2017,11/07/2017,4,Manuel Fernandez,Malabar,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO43746,43746001,1,2171.29,3578.27,07/07/2017,15/07/2017,8,Kelvin Liang,Perth,South Australia,Australia,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO43747,43747001,1,2171.29,3578.27,07/07/2017,09/07/2017,2,Christian Jackson,Lincoln Acres,California,United States,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO43748,43748001,1,2171.29,3578.27,07/07/2017,14/07/2017,7,Alexandria Hughes,Lake Oswego,Oregon,United States,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO43749,43749001,1,2171.29,3578.27,07/07/2017,11/07/2017,4,Paige Murphy,Issaquah,Washington,United States,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO43750,43750001,1,2171.29,3578.27,07/07/2017,15/07/2017,8,Stacey Lu,Versailles,Yveline,France,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO43751,43751001,1,2171.29,3578.27,07/07/2017,12/07/2017,5,Darrell Raji,Paris,Seine (Paris),France,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO43752,43752001,1,2171.29,3578.27,07/07/2017,09/07/2017,2,Luke Adams,Paderborn,Nordrhein-Westfalen,Germany,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO43753,43753001,1,2171.29,3578.27,07/07/2017,09/07/2017,2,Tabitha Arthur,Bendigo,Victoria,Australia,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO43754,43754001,1,2171.29,3578.27,08/07/2017,16/07/2017,8,Morgan Phillips,Olympia,Washington,United States,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO43755,43755001,1,2171.29,3578.27,08/07/2017,14/07/2017,6,Kayla Long,Novato,California,United States,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO43756,43756001,1,413.15,699.1,08/07/2017,17/07/2017,9,Cedric Liang,London,England,United Kingdom,Bikes,Road Bikes,"Road-650 Black, 58",Black,Road-650,699.1
SO43757,43757001,1,1898.09,3374.99,08/07/2017,11/07/2017,3,Shannon Wang,Sunbury,Victoria,Australia,Bikes,Mountain Bikes,"Mountain-100 Black, 44",Black,Mountain-100,3374.99
SO43758,43758001,1,2171.29,3578.27,08/07/2017,11/07/2017,3,Jackson Li,Imperial Beach,California,United States,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO43759,43759001,1,2171.29,3578.27,08/07/2017,11/07/2017,3,Jon Chander,Hof,Bayern,Germany,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO43760,43760001,1,2171.29,3578.27,08/07/2017,13/07/2017,5,Tiffany Gao,Goulburn,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO43761,43761001,1,2171.29,3578.27,08/07/2017,11/07/2017,3,Brenda Fernandez,Seaford,Victoria,Australia,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO43762,43762001,1,2171.29,3578.27,09/07/2017,19/07/2017,10,Courtney Carter,Lakewood,California,United States,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO43763,43763001,1,2171.29,3578.27,09/07/2017,16/07/2017,7,Martha Liang,Goulburn,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO43764,43764001,1,2171.29,3578.27,09/07/2017,14/07/2017,5,Ebony Ashe,Matraville,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO43765,43765001,1,1912.15,3399.99,09/07/2017,11/07/2017,2,Jacquelyn Suarez,East Brisbane,Queensland,Australia,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",Silver,Mountain-100,3399.99
SO43766,43766001,1,2171.29,3578.27,09/07/2017,16/07/2017,7,Krystal Holt,Cranbourne,Victoria,Australia,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO43767,43767001,1,1898.09,3374.99,09/07/2017,13/07/2017,4,Eugene Huang,Seaford,Victoria,Australia,Bikes,Mountain Bikes,"Mountain-100 Black, 44",Black,Mountain-100,3374.99
SO43768,43768001,1,2171.29,3578.27,10/07/2017,20/07/2017,10,Evan Bailey,Seattle,Washington,United States,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO43769,43769001,1,2171.29,3578.27,10/07/2017,12/07/2017,2,Gabrielle Jenkins,Haney,British Columbia,Canada,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO43770,43770001,1,2171.29,3578.27,10/07/2017,13/07/2017,3,Warren Ye,Bellingham,Washington,United States,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO43771,43771001,1,413.15,699.1,10/07/2017,19/07/2017,9,Ashley Washington,Long Beach,California,United States,Bikes,Road Bikes,"Road-650 Red, 52",Red,Road-650,699.1
SO43772,43772001,1,2171.29,3578.27,10/07/2017,12/07/2017,2,Damien Huang,Hawthorne,Queensland,Australia,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO43773,43773001,1,2171.29,3578.27,10/07/2017,17/07/2017,7,Arthur Perez,Sunbury,Victoria,Australia,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO43774,43774001,1,2171.29,3578.27,10/07/2017,16/07/2017,6,Roy Raman,Goulburn,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO43775,43775001,1,1912.15,3399.99,10/07/2017,17/07/2017,7,Jessie Zhao,Warrnambool,Victoria,Australia,Bikes,Mountain Bikes,"Mountain-100 Silver, 48",Silver,Mountain-100,3399.99
SO43776,43776001,1,2171.29,3578.27,10/07/2017,20/07/2017,10,James Flores,Neunkirchen,Saarland,Germany,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO43777,43777001,1,2171.29,3578.27,10/07/2017,13/07/2017,3,Troy Sai,Hobart,Tasmania,Australia,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO43778,43778001,1,1912.15,3399.99,10/07/2017,14/07/2017,4,Clarence Rai,Bendigo,Victoria,Australia,Bikes,Mountain Bikes,"Mountain-100 Silver, 42",Silver,Mountain-100,3399.99
SO43779,43779001,1,413.15,699.1,10/07/2017,17/07/2017,7,Warren Zhang,Coffs Harbour,New South Wales,Australia,Bikes,Road Bikes,"Road-650 Red, 44",Red,Road-650,699.1
SO43780,43780001,1,2171.29,3578.27,11/07/2017,19/07/2017,8,Melody Diaz,Les Ulis,Essonne,France,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO43781,43781001,1,2171.29,3578.27,11/07/2017,20/07/2017,9,Monique Ramos,Warrnambool,Victoria,Australia,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO43782,43782001,1,2171.29,3578.27,11/07/2017,13/07/2017,2,Melvin She,Townsville,Queensland,Australia,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO43783,43783001,1,2171.29,3578.27,11/07/2017,16/07/2017,5,Cameron Thompson,Sydney,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO43784,43784001,1,2171.29,3578.27,12/07/2017,18/07/2017,6,Jessica Sanchez,Daly City,California,United States,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO43785,43785001,1,2171.29,3578.27,12/07/2017,19/07/2017,7,Ivan Raman,Versailles,Yveline,France,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO43786,43786001,1,2171.29,3578.27,12/07/2017,16/07/2017,4,Clinton Moreno,Paris,Seine (Paris),France,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO43787,43787001,1,1912.15,3399.99,12/07/2017,18/07/2017,6,Don Lal,Berlin,Hessen,Germany,Bikes,Mountain Bikes,"Mountain-100 Silver, 38",Silver,Mountain-100,3399.99
SO43788,43788001,1,1898.09,3374.99,12/07/2017,14/07/2017,2,Latoya Goel,London,England,United Kingdom,Bikes,Mountain Bikes,"Mountain-100 Black, 48",Black,Mountain-100,3374.99
SO43789,43789001,1,1898.09,3374.99,12/07/2017,16/07/2017,4,Tristan Butler,Kirkland,Washington,United States,Bikes,Mountain Bikes,"Mountain-100 Black, 48",Black,Mountain-100,3374.99
SO43790,43790001,1,1912.15,3399.99,12/07/2017,15/07/2017,3,Abigail Perry,W. Linn,Oregon,United States,Bikes,Mountain Bikes,"Mountain-100 Silver, 38",Silver,Mountain-100,3399.99
SO43791,43791001,1,2171.29,3578.27,12/07/2017,15/07/2017,3,Dustin Lal,Springwood,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO43792,43792001,1,2171.29,3578.27,12/07/2017,22/07/2017,10,Andres Lal,Port Macquarie,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO43793,43793001,1,1912.15,3399.99,12/07/2017,17/07/2017,5,Jon Yang,Rockhampton,Queensland,Australia,Bikes,Mountain Bikes,"Mountain-100 Silver, 38",Silver,Mountain-100,3399.99
SO43794,43794001,1,1912.15,3399.99,12/07/2017,14/07/2017,2,Jimmy Moreno,Bendigo,Victoria,Australia,Bikes,Mountain Bikes,"Mountain-100 Silver, 48",Silver,Mountain-100,3399.99
SO43795,43795001,1,2171.29,3578.27,13/07/2017,16/07/2017,3,Maria Henderson,La Jolla,California,United States,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO43796,43796001,1,413.15,699.1,13/07/2017,23/07/2017,10,Jaime Gomez,Metz,Moselle,France,Bikes,Road Bikes,"Road-650 Black, 52",Black,Road-650,699.1
SO43797,43797001,1,2171.29,3578.27,13/07/2017,22/07/2017,9,Francis Ramos,Wollongong,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO43798,43798001,1,2171.29,3578.27,13/07/2017,22/07/2017,9,Tonya She,Hawthorne,Queensland,Australia,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO43799,43799001,1,2171.29,3578.27,13/07/2017,17/07/2017,4,Danny Gomez,South Melbourne,Victoria,Australia,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO43800,43800001,1,2171.29,3578.27,13/07/2017,21/07/2017,8,Brittany Gonzales,Royal Oak,British Columbia,Canada,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO43801,43801001,1,2171.29,3578.27,13/07/2017,17/07/2017,4,Blake Butler,Gateshead,England,United Kingdom,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO43802,43802001,1,2171.29,3578.27,13/07/2017,17/07/2017,4,Armando Moreno,Orleans,Loiret,France,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO43803,43803001,1,2171.29,3578.27,14/07/2017,19/07/2017,5,Alexa Sanders,N. Vancouver,British Columbia,Canada,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO43804,43804001,1,2171.29,3578.27,14/07/2017,23/07/2017,9,Savannah Morris,Leeds,England,United Kingdom,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO43805,43805001,1,413.15,699.1,14/07/2017,20/07/2017,6,Samuel Hernandez,Everett,Washington,United States,Bikes,Road Bikes,"Road-650 Red, 48",Red,Road-650,699.1
SO43806,43806001,1,2171.29,3578.27,14/07/2017,17/07/2017,3,Sandra Huang,Hervey Bay,Queensland,Australia,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO43807,43807001,1,2171.29,3578.27,14/07/2017,22/07/2017,8,Ernest Lin,Orleans,Loiret,France,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO43808,43808001,1,2171.29,3578.27,14/07/2017,23/07/2017,9,Allen Garcia,Münster,Saarland,Germany,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO43809,43809001,1,2171.29,3578.27,14/07/2017,20/07/2017,6,Fernando Thompson,Sydney,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO43810,43810001,1,1912.15,3399.99,14/07/2017,20/07/2017,6,Elizabeth Johnson,Wollongong,New South Wales,Australia,Bikes,Mountain Bikes,"Mountain-100 Silver, 42",Silver,Mountain-100,3399.99
SO43811,43811001,1,1912.15,3399.99,14/07/2017,23/07/2017,9,Harold Sai,Goulburn,New South Wales,Australia,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",Silver,Mountain-100,3399.99
SO43812,43812001,1,2171.29,3578.27,15/07/2017,24/07/2017,9,Bianca Zheng,Burbank,California,United States,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO43813,43813001,1,1898.09,3374.99,15/07/2017,25/07/2017,10,Frederick Suri,Colombes,Hauts de Seine,France,Bikes,Mountain Bikes,"Mountain-100 Black, 44",Black,Mountain-100,3374.99
SO43814,43814001,1,1898.09,3374.99,15/07/2017,22/07/2017,7,Tristan Perry,W. Linn,Oregon,United States,Bikes,Mountain Bikes,"Mountain-100 Black, 44",Black,Mountain-100,3374.99
SO43815,43815001,1,2171.29,3578.27,15/07/2017,22/07/2017,7,Jordyn Simmons,Warrnambool,Victoria,Australia,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO43816,43816001,1,2171.29,3578.27,15/07/2017,19/07/2017,4,Dawn Tang,Darlinghurst,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO43817,43817001,1,2171.29,3578.27,15/07/2017,21/07/2017,6,Yolanda Chander,Hervey Bay,Queensland,Australia,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO43818,43818001,1,2171.29,3578.27,15/07/2017,23/07/2017,8,Dominique Garcia,Melton,Victoria,Australia,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO43819,43819001,1,1912.15,3399.99,15/07/2017,18/07/2017,3,Janet Alvarez,Matraville,New South Wales,Australia,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",Silver,Mountain-100,3399.99
SO43820,43820001,1,2171.29,3578.27,15/07/2017,17/07/2017,2,Jeremy Murphy,Concord,California,United States,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO43821,43821001,1,2171.29,3578.27,15/07/2017,24/07/2017,9,Aaron Collins,Santa Cruz,California,United States,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO43822,43822001,1,2171.29,3578.27,15/07/2017,20/07/2017,5,Katelyn Allen,Coronado,California,United States,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO43823,43823001,1,413.15,699.1,15/07/2017,20/07/2017,5,Armando Navarro,Oxon,England,United Kingdom,Bikes,Road Bikes,"Road-650 Black, 52",Black,Road-650,699.1
SO43824,43824001,1,413.15,699.1,15/07/2017,23/07/2017,8,Marcel Truempy,Yakima,Washington,United States,Bikes,Road Bikes,"Road-650 Black, 44",Black,Road-650,699.1
SO43825,43825001,1,2171.29,3578.27,15/07/2017,22/07/2017,7,Levi Sai,Bendigo,Victoria,Australia,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO43826,43826001,1,1898.09,3374.99,15/07/2017,20/07/2017,5,Rob Verhoff,Bendigo,Victoria,Australia,Bikes,Mountain Bikes,"Mountain-100 Black, 38",Black,Mountain-100,3374.99
SO43827,43827001,1,413.15,699.1,15/07/2017,19/07/2017,4,Anthony Walker,Gold Coast,Queensland,Australia,Bikes,Road Bikes,"Road-650 Black, 44",Black,Road-650,699.1
SO43828,43828001,1,2171.29,3578.27,16/07/2017,23/07/2017,7,Miguel Martinez,Sedro Woolley,Washington,United States,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO43829,43829001,1,2171.29,3578.27,16/07/2017,20/07/2017,4,Jack Edwards,El Cajon,California,United States,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO43830,43830001,1,2171.29,3578.27,16/07/2017,20/07/2017,4,Raul Sharma,Rhodes,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO43831,43831001,1,1898.09,3374.99,16/07/2017,18/07/2017,2,Jill Jimenez,St. Leonards,New South Wales,Australia,Bikes,Mountain Bikes,"Mountain-100 Black, 42",Black,Mountain-100,3374.99
SO43832,43832001,1,2171.29,3578.27,16/07/2017,25/07/2017,9,Isaiah Cox,Runcorn,England,United Kingdom,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO43833,43833001,1,2171.29,3578.27,16/07/2017,25/07/2017,9,Arianna Flores,Shawnee,British Columbia,Canada,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO43834,43834001,1,1898.09,3374.99,16/07/2017,23/07/2017,7,Ramon Zheng,Courbevoie,Hauts de Seine,France,Bikes,Mountain Bikes,"Mountain-100 Black, 38",Black,Mountain-100,3374.99
SO43835,43835001,1,1898.09,3374.99,16/07/2017,20/07/2017,4,Sara James,Newton,British Columbia,Canada,Bikes,Mountain Bikes,"Mountain-100 Black, 38",Black,Mountain-100,3374.99
SO43836,43836001,1,413.15,699.1,16/07/2017,21/07/2017,5,Isabella Green,Shawnee,British Columbia,Canada,Bikes,Road Bikes,"Road-650 Red, 62",Red,Road-650,699.1
